_link,_link_releases,_link_main,id,name
0.releases.15.tender.tenderers.0,0.releases.15,0,RW-RRA-SUPLR-4f0e5918fe784050ad1c5bd547785cb6393012174c5ca497beeff8d96e429201,CLUB HOUSE LA PALISSE  LTD
0.releases.15.tender.tenderers.1,0.releases.15,0,RW-RRA-SUPLR-f85ac784a31ad1d2f7c18761cc9975cac16c58b734829dc63988a4d1f33d9d2c,CERCLESPORTIFDEKIGALI
0.releases.15.tender.tenderers.2,0.releases.15,0,RW-RRA-SUPLR-806acec851e66447f870de11254b7f1eb9ac5a9a1f7a694ecf4dfaf3896eca47,LE SANITAS  LTD
0.releases.15.tender.tenderers.3,0.releases.15,0,RW-RRA-SUPLR-84ba34cceaba83121115d9cace59fbb49dbd2e1a678344d8db8c4b20faf36e9b,SILENT HILL (R)  LTD
0.releases.15.tender.tenderers.4,0.releases.15,0,RW-RRA-SUPLR-904b07df1692046b82787e3633399cf5856e99314dada3fc88141e61e098d3c3,NYARUTARAMA SPORTS TRUST CLUB  LTD
0.releases.15.tender.tenderers.5,0.releases.15,0,RW-RRA-SUPLR-989969058ad299a4897d65768164aa08ff9abbbe7da3000013a5cd99d69c2712,CHRIS COMPANY  LTD
0.releases.15.tender.tenderers.6,0.releases.15,0,RW-RRA-SUPLR-69c1713b3f3b15879fc26ca55b956d9f7835381ec9f0bdbec5c4e1e4bcf05b4a,SAINTE FAMILLE HOTELS Ltd
0.releases.15.tender.tenderers.7,0.releases.15,0,RW-RRA-SUPLR-0ab338c65e26b4ffc1022df0c5d6fb9173560b7247feb397e4fdcc912ac8e939,URBAN PARK SUITES LTD
0.releases.15.tender.tenderers.8,0.releases.15,0,RW-RRA-SUPLR-7bf687cdbb79fdc66fee03fc721287f90cb9708a3d5b45dae2bc379b74332854,BODYMAX FITNESS Ltd
0.releases.15.tender.tenderers.9,0.releases.15,0,RW-RRA-SUPLR-d97ed6b35bd9a89ce8c7c9e5996c0c0dbab086aec6824b11114e66e2bf75e11a,FITNESSPOINT Ltd
0.releases.15.tender.tenderers.10,0.releases.15,0,RW-RRA-SUPLR-25c26a4aea4ec241976d9f6f6e9c25f3d8c26eea85320b00747ec0be8b003f37,PHF Ltd
0.releases.15.tender.tenderers.11,0.releases.15,0,RW-RRA-SUPLR-068b3526f76168c27ba705f68610bf0229aac44e3d133233ce39eec2c7d62ae6,TEIRRA ANJALI BUSINESS COMPANY Ltd
0.releases.15.tender.tenderers.12,0.releases.15,0,RW-RRA-SUPLR-43ad774fc88145b8268b9682a35a89eb0fc0122f7f0f621a0a4be8b04654e4fc,GYMAX Ltd
0.releases.15.tender.tenderers.13,0.releases.15,0,RW-RRA-SUPLR-cd026e3313c767e5df539c94cab91a1b7a3d641a438d503519802d69f4bc5fa8,PRO FITNESS CLUB Limited
0.releases.15.tender.tenderers.14,0.releases.15,0,RW-RRA-SUPLR-0cb9b5b32e9a8673161a0a8de0c7aaeb80f864b240b5c6a8aa65695df338d826,KT FITNESS CENTER Ltd
0.releases.16.tender.tenderers.0,0.releases.16,0,RW-RRA-SUPLR-8e98ad1215846ea24c46f4dd5bcb60a1aa384a92acbee44abfeeb661ec913797,RINDIRO BUSINESS COMPANY Ltd
0.releases.16.tender.tenderers.1,0.releases.16,0,RW-RRA-SUPLR-1695ab5c4e1775633668d2a0a7bbdbba86dc53d9e1a16f2befabf45dbfafb432,INUMA TECHNOLOGY Ltd
0.releases.17.tender.tenderers.0,0.releases.17,0,RW-RRA-SUPLR-4f0e5918fe784050ad1c5bd547785cb6393012174c5ca497beeff8d96e429201,CLUB HOUSE LA PALISSE  LTD
0.releases.17.tender.tenderers.1,0.releases.17,0,RW-RRA-SUPLR-f85ac784a31ad1d2f7c18761cc9975cac16c58b734829dc63988a4d1f33d9d2c,CERCLESPORTIFDEKIGALI
0.releases.17.tender.tenderers.2,0.releases.17,0,RW-RRA-SUPLR-806acec851e66447f870de11254b7f1eb9ac5a9a1f7a694ecf4dfaf3896eca47,LE SANITAS  LTD
0.releases.17.tender.tenderers.3,0.releases.17,0,RW-RRA-SUPLR-84ba34cceaba83121115d9cace59fbb49dbd2e1a678344d8db8c4b20faf36e9b,SILENT HILL (R)  LTD
0.releases.17.tender.tenderers.4,0.releases.17,0,RW-RRA-SUPLR-904b07df1692046b82787e3633399cf5856e99314dada3fc88141e61e098d3c3,NYARUTARAMA SPORTS TRUST CLUB  LTD
0.releases.17.tender.tenderers.5,0.releases.17,0,RW-RRA-SUPLR-989969058ad299a4897d65768164aa08ff9abbbe7da3000013a5cd99d69c2712,CHRIS COMPANY  LTD
0.releases.17.tender.tenderers.6,0.releases.17,0,RW-RRA-SUPLR-69c1713b3f3b15879fc26ca55b956d9f7835381ec9f0bdbec5c4e1e4bcf05b4a,SAINTE FAMILLE HOTELS Ltd
0.releases.17.tender.tenderers.7,0.releases.17,0,RW-RRA-SUPLR-0ab338c65e26b4ffc1022df0c5d6fb9173560b7247feb397e4fdcc912ac8e939,URBAN PARK SUITES LTD
0.releases.17.tender.tenderers.8,0.releases.17,0,RW-RRA-SUPLR-7bf687cdbb79fdc66fee03fc721287f90cb9708a3d5b45dae2bc379b74332854,BODYMAX FITNESS Ltd
0.releases.17.tender.tenderers.9,0.releases.17,0,RW-RRA-SUPLR-d97ed6b35bd9a89ce8c7c9e5996c0c0dbab086aec6824b11114e66e2bf75e11a,FITNESSPOINT Ltd
0.releases.17.tender.tenderers.10,0.releases.17,0,RW-RRA-SUPLR-25c26a4aea4ec241976d9f6f6e9c25f3d8c26eea85320b00747ec0be8b003f37,PHF Ltd
0.releases.17.tender.tenderers.11,0.releases.17,0,RW-RRA-SUPLR-068b3526f76168c27ba705f68610bf0229aac44e3d133233ce39eec2c7d62ae6,TEIRRA ANJALI BUSINESS COMPANY Ltd
0.releases.17.tender.tenderers.12,0.releases.17,0,RW-RRA-SUPLR-43ad774fc88145b8268b9682a35a89eb0fc0122f7f0f621a0a4be8b04654e4fc,GYMAX Ltd
0.releases.17.tender.tenderers.13,0.releases.17,0,RW-RRA-SUPLR-cd026e3313c767e5df539c94cab91a1b7a3d641a438d503519802d69f4bc5fa8,PRO FITNESS CLUB Limited
0.releases.17.tender.tenderers.14,0.releases.17,0,RW-RRA-SUPLR-0cb9b5b32e9a8673161a0a8de0c7aaeb80f864b240b5c6a8aa65695df338d826,KT FITNESS CENTER Ltd
0.releases.18.tender.tenderers.0,0.releases.18,0,RW-RRA-SUPLR-7c276be64cb44a2a01609d1d3591a7d55d8082da56f468f6df1ccc84414b37a1,PALLOTTI PRESSE  LTD
0.releases.18.tender.tenderers.1,0.releases.18,0,RW-RRA-SUPLR-eaf1e95b1a6cf7c43ffc5f09e86d37dc8d8b6136a22b7b2489837a8f4d4f368c,DUPLICATOR  LTD
0.releases.18.tender.tenderers.2,0.releases.18,0,RW-RRA-SUPLR-1382586e4f3c3936c519d3a0f00d6de55742d174adb99ff33aee5c496330162d,OPERA Ltd
0.releases.18.tender.tenderers.3,0.releases.18,0,RW-RRA-SUPLR-d1bd4ea3c8357dc0c6a7cd747a5adfb108798c9d9c7dd2d3722b0571a5f92732,IMAGE DESIGNING CENTER  LTD
0.releases.18.tender.tenderers.4,0.releases.18,0,RW-RRA-SUPLR-2c0c9228a3f1d62c81201c3342afc7f587cede3b0f3289f19b28b42dde4da971,PAMACO  LTD
0.releases.18.tender.tenderers.5,0.releases.18,0,RW-RRA-SUPLR-cbd661c70f5aae328608b12f482747c51ebabacdda42df66b25048e58d69866d,MANIFER  LTD
0.releases.18.tender.tenderers.6,0.releases.18,0,RW-RRA-SUPLR-66d8d4d986a43411b7740ff4b6ffa4064b8f5ed71601b7ce32241d2227131738,COCORICO  LTD
0.releases.18.tender.tenderers.7,0.releases.18,0,RW-RRA-SUPLR-4ff566cb6a740f9df1807269bad2e54d0a5a3269d5c93b6eeb236d98e19675bc,NEGOCIOS Ltd
0.releases.19.tender.tenderers.0,0.releases.19,0,RW-RRA-SUPLR-4f0e5918fe784050ad1c5bd547785cb6393012174c5ca497beeff8d96e429201,CLUB HOUSE LA PALISSE  LTD
0.releases.19.tender.tenderers.1,0.releases.19,0,RW-RRA-SUPLR-f85ac784a31ad1d2f7c18761cc9975cac16c58b734829dc63988a4d1f33d9d2c,CERCLESPORTIFDEKIGALI
0.releases.19.tender.tenderers.2,0.releases.19,0,RW-RRA-SUPLR-806acec851e66447f870de11254b7f1eb9ac5a9a1f7a694ecf4dfaf3896eca47,LE SANITAS  LTD
0.releases.19.tender.tenderers.3,0.releases.19,0,RW-RRA-SUPLR-84ba34cceaba83121115d9cace59fbb49dbd2e1a678344d8db8c4b20faf36e9b,SILENT HILL (R)  LTD
0.releases.19.tender.tenderers.4,0.releases.19,0,RW-RRA-SUPLR-904b07df1692046b82787e3633399cf5856e99314dada3fc88141e61e098d3c3,NYARUTARAMA SPORTS TRUST CLUB  LTD
0.releases.19.tender.tenderers.5,0.releases.19,0,RW-RRA-SUPLR-989969058ad299a4897d65768164aa08ff9abbbe7da3000013a5cd99d69c2712,CHRIS COMPANY  LTD
0.releases.19.tender.tenderers.6,0.releases.19,0,RW-RRA-SUPLR-69c1713b3f3b15879fc26ca55b956d9f7835381ec9f0bdbec5c4e1e4bcf05b4a,SAINTE FAMILLE HOTELS Ltd
0.releases.19.tender.tenderers.7,0.releases.19,0,RW-RRA-SUPLR-0ab338c65e26b4ffc1022df0c5d6fb9173560b7247feb397e4fdcc912ac8e939,URBAN PARK SUITES LTD
0.releases.19.tender.tenderers.8,0.releases.19,0,RW-RRA-SUPLR-7bf687cdbb79fdc66fee03fc721287f90cb9708a3d5b45dae2bc379b74332854,BODYMAX FITNESS Ltd
0.releases.19.tender.tenderers.9,0.releases.19,0,RW-RRA-SUPLR-d97ed6b35bd9a89ce8c7c9e5996c0c0dbab086aec6824b11114e66e2bf75e11a,FITNESSPOINT Ltd
0.releases.19.tender.tenderers.10,0.releases.19,0,RW-RRA-SUPLR-25c26a4aea4ec241976d9f6f6e9c25f3d8c26eea85320b00747ec0be8b003f37,PHF Ltd
0.releases.19.tender.tenderers.11,0.releases.19,0,RW-RRA-SUPLR-068b3526f76168c27ba705f68610bf0229aac44e3d133233ce39eec2c7d62ae6,TEIRRA ANJALI BUSINESS COMPANY Ltd
0.releases.19.tender.tenderers.12,0.releases.19,0,RW-RRA-SUPLR-43ad774fc88145b8268b9682a35a89eb0fc0122f7f0f621a0a4be8b04654e4fc,GYMAX Ltd
0.releases.19.tender.tenderers.13,0.releases.19,0,RW-RRA-SUPLR-cd026e3313c767e5df539c94cab91a1b7a3d641a438d503519802d69f4bc5fa8,PRO FITNESS CLUB Limited
0.releases.19.tender.tenderers.14,0.releases.19,0,RW-RRA-SUPLR-0cb9b5b32e9a8673161a0a8de0c7aaeb80f864b240b5c6a8aa65695df338d826,KT FITNESS CENTER Ltd
0.releases.20.tender.tenderers.0,0.releases.20,0,RW-RRA-SUPLR-4f0e5918fe784050ad1c5bd547785cb6393012174c5ca497beeff8d96e429201,CLUB HOUSE LA PALISSE  LTD
0.releases.20.tender.tenderers.1,0.releases.20,0,RW-RRA-SUPLR-f85ac784a31ad1d2f7c18761cc9975cac16c58b734829dc63988a4d1f33d9d2c,CERCLESPORTIFDEKIGALI
0.releases.20.tender.tenderers.2,0.releases.20,0,RW-RRA-SUPLR-806acec851e66447f870de11254b7f1eb9ac5a9a1f7a694ecf4dfaf3896eca47,LE SANITAS  LTD
0.releases.20.tender.tenderers.3,0.releases.20,0,RW-RRA-SUPLR-84ba34cceaba83121115d9cace59fbb49dbd2e1a678344d8db8c4b20faf36e9b,SILENT HILL (R)  LTD
0.releases.20.tender.tenderers.4,0.releases.20,0,RW-RRA-SUPLR-904b07df1692046b82787e3633399cf5856e99314dada3fc88141e61e098d3c3,NYARUTARAMA SPORTS TRUST CLUB  LTD
0.releases.20.tender.tenderers.5,0.releases.20,0,RW-RRA-SUPLR-989969058ad299a4897d65768164aa08ff9abbbe7da3000013a5cd99d69c2712,CHRIS COMPANY  LTD
0.releases.20.tender.tenderers.6,0.releases.20,0,RW-RRA-SUPLR-69c1713b3f3b15879fc26ca55b956d9f7835381ec9f0bdbec5c4e1e4bcf05b4a,SAINTE FAMILLE HOTELS Ltd
0.releases.20.tender.tenderers.7,0.releases.20,0,RW-RRA-SUPLR-0ab338c65e26b4ffc1022df0c5d6fb9173560b7247feb397e4fdcc912ac8e939,URBAN PARK SUITES LTD
0.releases.20.tender.tenderers.8,0.releases.20,0,RW-RRA-SUPLR-7bf687cdbb79fdc66fee03fc721287f90cb9708a3d5b45dae2bc379b74332854,BODYMAX FITNESS Ltd
0.releases.20.tender.tenderers.9,0.releases.20,0,RW-RRA-SUPLR-d97ed6b35bd9a89ce8c7c9e5996c0c0dbab086aec6824b11114e66e2bf75e11a,FITNESSPOINT Ltd
0.releases.20.tender.tenderers.10,0.releases.20,0,RW-RRA-SUPLR-25c26a4aea4ec241976d9f6f6e9c25f3d8c26eea85320b00747ec0be8b003f37,PHF Ltd
0.releases.20.tender.tenderers.11,0.releases.20,0,RW-RRA-SUPLR-068b3526f76168c27ba705f68610bf0229aac44e3d133233ce39eec2c7d62ae6,TEIRRA ANJALI BUSINESS COMPANY Ltd
0.releases.20.tender.tenderers.12,0.releases.20,0,RW-RRA-SUPLR-43ad774fc88145b8268b9682a35a89eb0fc0122f7f0f621a0a4be8b04654e4fc,GYMAX Ltd
0.releases.20.tender.tenderers.13,0.releases.20,0,RW-RRA-SUPLR-cd026e3313c767e5df539c94cab91a1b7a3d641a438d503519802d69f4bc5fa8,PRO FITNESS CLUB Limited
0.releases.20.tender.tenderers.14,0.releases.20,0,RW-RRA-SUPLR-0cb9b5b32e9a8673161a0a8de0c7aaeb80f864b240b5c6a8aa65695df338d826,KT FITNESS CENTER Ltd
0.releases.23.tender.tenderers.0,0.releases.23,0,RW-RRA-SUPLR-e326361fd3a19e53a8be4cfe19d18401b03131cf967422c14628ad4abca79883,KIGALI VISION SPORTS  LTD
0.releases.23.tender.tenderers.1,0.releases.23,0,RW-RRA-SUPLR-96e79d3e820dcf9f90ce279a598621bf9673b08fd1214c1c50603d1e1da15594,N.C AFRICAN TRADING Ltd
0.releases.23.tender.tenderers.2,0.releases.23,0,RW-RRA-SUPLR-67870a2287d273c9744a74b2e1dc57f97d3825a8484b4f381cc9c2933dd70d59,K&A TECHNOLOGY & GENERAL BUSINESS Ltd
0.releases.23.tender.tenderers.3,0.releases.23,0,RW-RRA-SUPLR-a3df4139a386dd0a589cd612ecd73ac9c06ddf80de232e917ca30dd563de1f2b,GLOBAL DEVELOPMENT COMPANY Ltd
0.releases.23.tender.tenderers.4,0.releases.23,0,RW-RRA-SUPLR-09a79e0319f124661de4cfd24acafb0ab8d19401889780ad1862ceaa6c2dc151,SAWA AFRICAN Ltd
0.releases.23.tender.tenderers.5,0.releases.23,0,RW-RRA-SUPLR-665ba221b7a75bc5ba59cf985bcd3cf266ab43bb0b10aead69bbbdf9fd1034e4,SPORT VICTORY VIBE Ltd
0.releases.25.tender.tenderers.0,0.releases.25,0,RW-RRA-SUPLR-7df93cdca45333008475c9460a581ca6befd938b917ef63362ac96a26bd5d49f,AGRIHEALTH  LTD
0.releases.25.tender.tenderers.1,0.releases.25,0,RW-RRA-SUPLR-d0b14756e9cf62f140b19bb8351b84db7f6ea90e48cf3912f1cbbc3930a4f8d0,UTRASCO Ltd
0.releases.26.tender.tenderers.0,0.releases.26,0,RW-RRA-SUPLR-fb86ffb7e78459ad59bf869bb70ee1ce8288d7486a52ccbbcc9a0e61716b57de,FEZA GALERY SHOP  LTD
0.releases.26.tender.tenderers.1,0.releases.26,0,RW-RRA-SUPLR-9fe960f1993a08e349fb547c03fa7946e1d4500d21fe022d07a4b10749f18736,BESAW COMPANY Ltd
0.releases.26.tender.tenderers.2,0.releases.26,0,RW-RRA-SUPLR-dc6c867d791d9db69dba1db460f8cb4b0c1e64c16090a7895bec23932e5e8e96,G.& 2E. Ltd
