_link,_link_releases,_link_releases_contracts,_link_main,id,description,quantity,classification_scheme,classification_id,classification_description,unit_id,unit_name,unit_value_amount,unit_value_currency
0.releases.3428.contracts.0.items.532,0.releases.3428,0.releases.3428.contracts.0,0,d0f5a2b6-dc1e-4439-9e4d-78e3564327e7,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406101,"Car or truck insurance,GP 298 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.533,0.releases.3428,0.releases.3428.contracts.0,0,4938ed35-afd6-46ea-94e6-10376ca851f3,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406101,"Car or truck insurance,GP 298 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.534,0.releases.3428,0.releases.3428.contracts.0,0,ed524785-7225-4ed6-8709-8513fe986e01,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406101,"Car or truck insurance,GP 298 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.535,0.releases.3428,0.releases.3428.contracts.0,0,9e0ca001-a9c5-4fe1-b468-8f1ce195f040,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406102,"Car or truck insurance,GP 299 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.536,0.releases.3428,0.releases.3428.contracts.0,0,e9b59fd4-7ced-4fd4-9e9e-bc0cb8deb71e,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406102,"Car or truck insurance,GP 299 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.537,0.releases.3428,0.releases.3428.contracts.0,0,111efac9-53b8-4924-aa82-ec27948198fc,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406102,"Car or truck insurance,GP 299 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.538,0.releases.3428,0.releases.3428.contracts.0,0,4f462a12-259d-4cc1-8431-1521b1d511e0,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406102,"Car or truck insurance,GP 299 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.539,0.releases.3428,0.releases.3428.contracts.0,0,95ce16ec-5d27-4bcc-afbc-defa4f87e14f,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406102,"Car or truck insurance,GP 299 B/AMAROK",2211380,RWF
0.releases.3428.contracts.0.items.540,0.releases.3428,0.releases.3428.contracts.0,0,ae8dc486-444d-40a2-bdb9-7f163345b0f6,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406103,"Car or truck insurance,GR 197 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.541,0.releases.3428,0.releases.3428.contracts.0,0,8d6732e4-158d-4b19-9ad5-173367782d7b,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406103,"Car or truck insurance,GR 197 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.542,0.releases.3428,0.releases.3428.contracts.0,0,d1e22241-fd62-479a-8509-a94eeddf6d08,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406103,"Car or truck insurance,GR 197 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.543,0.releases.3428,0.releases.3428.contracts.0,0,4e639192-ea02-4761-b635-7ecc21842f43,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406103,"Car or truck insurance,GR 197 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
